iter	Passed	Remaining
406	5806	1326
407	5820	1312
408	5833	1297
409	5846	1283
410	5860	1269
411	5874	1254
412	5888	1240
413	5902	1226
414	5916	1211
415	5929	1197
416	5944	1183
417	5960	1169
418	5974	1155
419	5990	1141
420	6006	1127
421	6021	1112
422	6035	1098
423	6049	1084
424	6063	1070
425	6077	1055
426	6091	1041
427	6105	1027
428	6119	1012
429	6132	998
430	6146	984
431	6160	969
432	6174	955
433	6188	941
434	6201	926
435	6215	912
436	6228	897
437	6242	883
438	6256	869
439	6270	855
440	6283	840
441	6297	826
442	6310	811
443	6323	797
444	6337	783
445	6350	768
446	6364	754
447	6377	740
448	6391	725
449	6407	711
450	6420	697
451	6434	683
452	6447	668
453	6460	654
454	6473	640
455	6489	626
456	6503	611
457	6516	597
458	6529	583
459	6543	568
460	6556	554
461	6569	540
462	6582	526
463	6596	511
464	6609	497
465	6624	483
466	6637	469
467	6651	454
468	6665	440
469	6678	426
470	6692	412
471	6705	397
472	6719	383
473	6732	369
474	6745	355
475	6759	340
476	6773	326
477	6787	312
478	6801	298
479	6814	283
480	6828	269
481	6841	255
482	6855	241
483	6868	227
484	6882	212
485	6897	198
486	6913	184
487	6928	170
488	6944	156
489	6959	142
490	6978	127
491	6998	113
492	7013	99
493	7027	85
494	7041	71
495	7055	56
496	7069	42
497	7084	28
498	7099	14
499	7114	0
