iter	Logloss
0	0.6651932691
1	0.6367406957
2	0.6101725852
3	0.5922532826
4	0.5809023574
5	0.5598688114
6	0.5430646784
7	0.5352610609
8	0.5239700361
9	0.5087946695
10	0.4964635775
11	0.4887648812
12	0.4785785082
13	0.4702137789
14	0.4670189547
15	0.4589979419
16	0.4521741212
17	0.4448734418
18	0.440352337
19	0.4339659708
20	0.4300321896
21	0.4255375838
22	0.4208908546
23	0.4166611571
24	0.4114561323
25	0.4077605553
26	0.4059898001
27	0.4036904199
28	0.4015402669
29	0.399132545
30	0.3967763647
31	0.3962291611
32	0.3933385509
33	0.3912651138
34	0.3887094452
35	0.3870528328
36	0.385973847
37	0.3845751622
38	0.3831760141
39	0.382808311
40	0.382609646
41	0.3819800024
42	0.3817439538
43	0.3804456164
44	0.3792068117
45	0.3779406771
46	0.3765931555
47	0.3742628872
48	0.3731232854
49	0.3721352837
50	0.3707339458
51	0.3701110905
52	0.3683486034
53	0.3673540651
54	0.3667046511
55	0.3659428568
56	0.3640911899
57	0.3630266307
58	0.36233637
59	0.3609559137
60	0.3600650505
61	0.3589099818
62	0.3580737995
63	0.3576461644
64	0.3570554177
65	0.3563514669
66	0.35621766
67	0.3549441155
68	0.3542896276
69	0.3537192019
70	0.3524817456
71	0.3523976166
72	0.3521460154
73	0.3514774958
74	0.3506716464
75	0.3491399397
76	0.3481841312
77	0.3474362998
78	0.3470928908
79	0.346208293
80	0.3460845563
81	0.3454518046
82	0.3440036855
83	0.3434282136
84	0.3426631951
85	0.3423450818
86	0.3415107464
87	0.3413582944
88	0.3403502166
89	0.3394866743
90	0.339215837
91	0.3390665468
92	0.3388648922
93	0.3385226133
94	0.338080519
95	0.3379334164
96	0.3378264095
97	0.3372414637
98	0.3363280588
99	0.3361031494
100	0.3355502378
101	0.3348635367
102	0.3343682165
103	0.3334863892
104	0.3331960917
105	0.3327461365
106	0.3321682073
107	0.3314354161
108	0.3312023705
109	0.3304249239
110	0.3298944096
111	0.3291261843
112	0.3290420501
113	0.3276970687
114	0.3269052649
115	0.3262661445
116	0.3250378191
117	0.3241919122
118	0.3235929307
119	0.3229873125
120	0.3220858517
121	0.3213703412
122	0.3210926306
123	0.3202656692
124	0.3197628089
125	0.31967444
126	0.3179570659
127	0.3171323066
128	0.3160049938
129	0.3150163849
130	0.3145459979
131	0.3141572739
132	0.3138216334
133	0.313336604
134	0.3128039464
135	0.3122812583
136	0.3119711036
137	0.3118781352
138	0.3115281282
139	0.3112599387
140	0.3105651022
141	0.3105430484
142	0.3096738536
143	0.3090949044
144	0.309094873
145	0.3089751741
146	0.3089426156
147	0.3089426075
148	0.3077269976
149	0.3076258526
150	0.3074073195
151	0.3056753484
152	0.3048796102
153	0.3041810978
154	0.30415566
155	0.3041201472
156	0.3035559698
157	0.3031718838
158	0.3025744944
159	0.3015013537
160	0.3012709641
161	0.2997413924
162	0.2996969313
163	0.2987303853
164	0.2986873888
165	0.2981208404
166	0.29803726
167	0.2978921265
168	0.2975651948
169	0.2972691622
170	0.29642434
171	0.2949345813
172	0.2947992478
173	0.2943304428
174	0.2935560993
175	0.2927147804
176	0.2922205434
177	0.2920941893
178	0.2914134176
179	0.290882351
180	0.2906923232
181	0.2902030082
182	0.2898391881
183	0.2896062535
184	0.2891980643
185	0.2880916965
186	0.2870363322
187	0.2869784155
188	0.2858155656
189	0.2851031864
190	0.2841879257
191	0.2840554412
192	0.2840168434
193	0.2836264866
194	0.2832078281
195	0.2822595441
196	0.2818247628
197	0.2803402555
198	0.2794690565
199	0.2791201846
200	0.2791022955
201	0.2787968202
202	0.2774814814
203	0.2774566677
204	0.2771995662
205	0.2764704172
206	0.2764031846
207	0.2754778609
208	0.27477652
209	0.274726586
210	0.2742731183
211	0.2736051287
212	0.2721838383
213	0.2712048192
214	0.2711778019
215	0.2707071262
216	0.270442875
217	0.2704182867
218	0.2699159286
219	0.2695461306
220	0.268332463
221	0.2673767671
222	0.2659800139
223	0.2659343624
224	0.265902632
225	0.2651941996
226	0.2643886246
227	0.263712218
228	0.2633274038
229	0.2627019078
230	0.2620878122
231	0.2616305072
232	0.2616032446
233	0.2615829574
234	0.2608722182
235	0.259529505
236	0.2587990574
237	0.2578524945
238	0.2569675814
239	0.2560638254
240	0.2552420956
241	0.2551024973
242	0.2549465486
243	0.254557026
244	0.2540432496
245	0.2532173376
246	0.2529831587
247	0.2520403031
248	0.2518552493
249	0.2511418066
250	0.2500052432
251	0.2494086377
252	0.248911881
253	0.2481200247
254	0.247913982
255	0.2478663589
256	0.2470238411
257	0.2460543861
258	0.2452264793
259	0.2446463248
260	0.2441952909
261	0.244175574
