iter	Logloss
262	0.2441617024
263	0.2439682048
264	0.2438099507
265	0.243477568
266	0.2434687498
267	0.2430348302
268	0.2424211331
269	0.242027025
270	0.2418866139
271	0.2413473303
272	0.2413266428
273	0.2407774758
274	0.2402482383
275	0.2402359814
276	0.2398498317
277	0.2396243911
278	0.2393269351
279	0.2393128482
280	0.2386261315
281	0.2377868171
282	0.2370424411
283	0.2363983731
284	0.2363860452
285	0.2358933705
286	0.2357188714
287	0.2349386223
288	0.2349245204
289	0.2338701328
290	0.2337694362
291	0.2333945772
292	0.2333622146
293	0.2333451339
294	0.2325740491
295	0.2324114073
296	0.2320780009
297	0.2320220486
298	0.2315083091
299	0.2313957953
300	0.230909126
301	0.2307825303
302	0.2307699224
303	0.2304716412
304	0.230215245
305	0.2292637277
306	0.228819843
307	0.2280122045
308	0.227597446
309	0.2269941716
310	0.2266308074
311	0.2260568028
312	0.2252527978
313	0.2251399816
314	0.2242963326
315	0.2237040504
316	0.2234024725
317	0.2233567005
318	0.2233419406
319	0.2233243626
320	0.2229551197
321	0.2225023675
322	0.2222657809
323	0.2222403205
324	0.2219885014
325	0.2219793471
326	0.2209831811
327	0.2209624104
328	0.2205083025
329	0.2196694691
330	0.2191772453
331	0.2191396378
332	0.2191248266
333	0.2185911696
334	0.2178456319
335	0.2176217527
336	0.2176161469
337	0.2175590708
338	0.2173620111
339	0.2170785532
340	0.2165689376
341	0.2163261424
342	0.2155913721
343	0.2149497849
344	0.2148834397
345	0.2148163879
346	0.2145272466
347	0.2137785526
348	0.2135224182
349	0.2129947394
350	0.2129849939
351	0.212937337
352	0.2126372459
353	0.2126281406
354	0.2122208268
355	0.2122134809
356	0.2115880262
357	0.211255812
358	0.2107085929
359	0.2105605048
360	0.2105486561
361	0.2098506999
362	0.209837899
363	0.2096252748
364	0.2092847197
365	0.2092031356
366	0.2078729842
367	0.2076616388
368	0.2074021227
369	0.2073226364
370	0.2072957657
371	0.2070318914
372	0.2064525188
373	0.2059885887
374	0.2058149406
375	0.2055715997
376	0.2050868512
377	0.2050777165
378	0.2047322064
379	0.2044463422
380	0.2041012113
381	0.2034931386
382	0.2032975246
383	0.2031171014
384	0.2029996356
385	0.2029246839
386	0.2029168224
387	0.2028139534
388	0.2026376758
389	0.2024480507
390	0.2018078318
391	0.2013074824
392	0.2009798432
393	0.2004481972
394	0.2001001126
395	0.1995788209
396	0.199298786
397	0.1990156131
398	0.1984744507
399	0.1983682305
400	0.1981414025
401	0.1976231842
402	0.1970617337
403	0.1964062989
404	0.1960770501
405	0.195878922
406	0.1957459858
407	0.1957312579
408	0.1955064594
409	0.1949163092
410	0.1948921792
411	0.1947381568
412	0.1944056274
413	0.1940213415
414	0.1938365967
415	0.193830348
416	0.1937115695
417	0.1932837624
418	0.1930315479
419	0.1923455304
420	0.1921271686
421	0.1920172416
422	0.1915920767
423	0.1911111276
424	0.1904691636
425	0.1903040923
426	0.1901405824
427	0.1900503701
428	0.1897143749
429	0.18967319
430	0.1891024175
431	0.188961276
432	0.1888311215
433	0.188500289
434	0.1884937372
435	0.1884881667
436	0.1884819086
437	0.1882588054
438	0.187870337
439	0.1875503556
440	0.1871516349
441	0.1867944681
442	0.1867369032
443	0.1866320577
444	0.1865096663
445	0.1863339047
446	0.1862525357
447	0.1854789
448	0.1851369055
449	0.1850436396
450	0.1849469429
451	0.184869835
452	0.1848319461
453	0.1846092543
454	0.1845463928
455	0.1842820256
456	0.1839515752
457	0.1839441314
458	0.1837265617
459	0.1836790461
460	0.1831827443
461	0.1829863599
462	0.1828304978
463	0.1827986576
464	0.1825607558
465	0.1822176196
466	0.182174281
467	0.1819601839
468	0.1816159821
469	0.181448856
470	0.1814278676
471	0.1812341943
472	0.180991726
473	0.1808799806
474	0.1808745705
475	0.180480144
476	0.1801450396
477	0.1801351169
478	0.1801288673
479	0.1797643477
480	0.1796421388
481	0.1791453598
482	0.1787086803
483	0.1783817198
484	0.1783508506
485	0.1783237538
486	0.1782517325
487	0.17807289
488	0.177980885
489	0.1777562992
490	0.1776750418
491	0.1774722449
492	0.1773863418
493	0.1773814112
494	0.176941303
495	0.1766983189
496	0.1763430995
497	0.176243267
498	0.1756043059
499	0.1755083367
